ident,name,type,latitude,longitude,country code,airport
ERSK,ERSKINEVILLE OVAL,VFR,-33.9022222,151.1905556,AU,
ETTA,ETTAMOGAH PUB,VFR,-35.9683333,147.0083333,AU,
EMI,EUMUNDI,VFR,-26.4805556,152.9527778,AU,
EWI,EWANINGA,VFR,-23.9833333,133.9333333,AU,
EMD,EWEN MADDOCK DAM,VFR,-26.7777778,153.0083333,AU,
FCP,FALSE CAPE,VFR,-16.875,145.85,AU,
FHS,FARRER HIGH SCHOOL,VFR,-31.1416667,150.9833333,AU,
FDP,FEDERATION PEAK,VFR,-43.2666667,146.45,AU,
FNVL,FERNVALE,VFR,-27.4541667,152.6527778,AU,
FLDI,FIELD ISLAND,VFR,-12.1,132.3833333,AU,
FISH,FISHERMANS ISLAND,VFR,-27.3866667,153.1766667,AU,
FSHR,FISHERMANS PARADISE,VFR,-35.2305556,150.4483333,AU,
FIT,FITNESS CAMP,VFR,-35.1666667,147.6222222,AU,
FID,FITZROY ISLAND,VFR,-16.9333333,145.9916667,AU,
FGN,FLEMINGTON,VFR,-37.7930556,144.9111111,AU,
FPK,FLINDERS PEAK,VFR,-27.8166667,152.8083333,AU,
FMN,FORMARTIN,VFR,-27.3958333,151.4083333,AU,
FDL,FORRESTDALE LAKE,VFR,-32.1597222,115.9305556,AU,
FFLD,FORRESTFIELD,VFR,-31.9886111,116.0177778,AU,
FOWB,FOWLERS BAY,VFR,-31.9833333,132.4333333,AU,
FRLG,FREELING,VFR,-34.4566667,138.8083333,AU,
FWO,FREEWAY OVERPASS,VFR,-37.7952778,144.9938889,AU,
FRE,FREMANTLE,VFR,-32.0583333,115.7416667,AU,
FREM,FREMANTLE GOLF COURSE,VFR,-32.0547222,115.7736111,AU,
FRWV,FRESHWATER VALLEY,VFR,-16.95,145.6883333,AU,
GGN,GALLANGOWAN,VFR,-26.4327778,152.3291667,AU,
GAE,GALLILEE,VFR,-22.3833333,145.9833333,AU,
GWTR,GAOL WATER TOWER,VFR,-23.8583333,133.8,AU,
GST,GATE SOUTH,VFR,-31.2902778,150.6847222,AU,
GWT,GATE WEST,VFR,-31.0208333,150.5722222,AU,
GWB,GATEWAY BRIDGE,VFR,-27.4458333,153.1,AU,
GWDM,GAWLER DAM,VFR,-34.5630556,138.7711111,AU,
GEK,GEMBROOK,VFR,-37.95,145.55,AU,
GRB,GEORGES RIVER BRIDGE,VFR,-34.0033333,151.11,AU,
GEP,GEPPS CROSS,VFR,-34.85,138.6,AU,
GOY,GEROGERY,VFR,-35.8388889,146.9916667,AU,
GNR,GIBSON REEF,VFR,-17.3166667,146.35,AU,
GIM,GILBERLAND MINE,VFR,-19.3,143.6,AU,
GVB,GLADESVILLE BRIDGE,VFR,-33.8416667,151.1466667,AU,
GBRY,GLEN BRAY,VFR,-35.925,147.0083333,AU,
GBR,GLENBURN,VFR,-37.425,145.4222222,AU,
GLEN,GLENLOCH INTERCHANGE,VFR,-35.2844444,149.085,AU,
GMN,GLENMORGAN,VFR,-27.25,149.6833333,AU,
GLC,GLENORCHY,VFR,-31.9166667,139.7833333,AU,
GRE,GLENREAGH,VFR,-30.0541667,152.9777778,AU,
GRK,GLENROCK HS,VFR,-15.1166667,145.0833333,AU,
GCR,GLOUCESTER,VFR,-32.0041667,151.9666667,AU,
GOI,GOLDSMITH ISLAND,VFR,-20.6833333,149.15,AU,
GON,GOODNA,VFR,-27.6166667,152.8875,AU,
GGV,GOOGONG RESV,VFR,-35.4208333,149.2611111,AU,
GMBG,GOOMBUNGEE,VFR,-27.3083333,151.85,AU,
GNN,GOONANEMAN,VFR,-25.4333333,152.1333333,AU,
GGO,GOONOO GOONOO HS,VFR,-31.3097222,150.9055556,AU,
GOV,GORDONVALE,VFR,-17.0888889,145.7833333,AU,
