ident,name,type,latitude,longitude,country code,airport,procedures
P,Aeroparque Jorge Newbery,NDB,-34.54639816,-58.4394989,AR,,
P,Rio Grande,NDB,-53.77679825,-67.72039795,AR,SAWE,
P,General Urquiza,NDB,-31.77669907,-60.47669983,AR,,
PAL,El Palomar,VOR-DME,-34.6128006,-58.61389923,AR,SADP,
PAR,Parana,VOR-DME,-31.80830002,-60.48469925,AR,SAAP,
PDI,Punta Indio,VOR-DME,-35.34609985,-57.27560043,AR,SAAI,
PEH,Pehuajo,NDB,-35.84109879,-61.8608017,AR,SAZP,
POS,Posadas,VOR-DME,-27.38559914,-55.96920013,AR,SARP,
PSP,Presidencia Roque Saenz Pena,NDB,-26.74720001,-60.48609924,AR,,
PTA,La Plata,VOR,-34.97579956,-57.89830017,AR,SADL,
PTM,Perito Moreno,NDB,-46.53639984,-70.98609924,AR,SAWP,
R,Rio Cuarto,NDB,-33.11169815,-64.27500153,AR,,
RMY,Rio Mayo,NDB,-45.70470047,-70.26280212,AR,SAWM,
ROS,Rosario,VOR-DME,-32.90499878,-60.78139877,AR,SAAR,
RTA,Reconquista,VOR-DME,-29.20859909,-59.68249893,AR,SATR,
RYD,Villa Reynolds,VOR-DME,-33.72859955,-65.38110352,AR,SAOR,
SAL,Salta,VOR-DME,-24.85230064,-65.48390198,AR,SASA,
SAN,San Antonio Oeste,NDB,-40.76470184,-65.03420258,AR,SAVN,
SCZ,Santa Cruz,NDB,-50.02170181,-68.57939911,AR,SAWU,
SDE,Santiago Del Estero,VOR,-27.77939987,-64.31809998,AR,SANE,
SIS,Resistencia,VOR-DME,-27.44689941,-59.05720139,AR,SARE,
SIS,Resistancia,NDB,-27.46419907,-59.06969833,AR,,
SJU,San Julian,VOR-DME,-49.30979919,-67.81289673,AR,SAWJ,
SNT,San Antonio De Areco,VOR-DME,-34.2193985,-59.43560028,AR,SAAA,
SRA,San Rafael,VOR,-34.58940125,-68.3946991,AR,SAMR,
SRC,Santa Rosa De Conlara,VOR-DME,-32.37360001,-65.1832962,AR,SAOS,
STR,Santa Teresita,NDB,-36.54970169,-56.68389893,AR,SAZL,
SVO,Sauce Viejo,NDB,-31.71170044,-60.8064003,AR,SAAV,
T,Trelew,NDB,-43.20149994,-65.23799896,AR,,
TAR,Tartagal,NDB,-22.62779999,-63.81919861,AR,SAST,
TRC,Rio Cuarto,VOR,-33.09220123,-64.26499939,AR,SAOC,
TRE,Trelew,VOR-DME,-43.20249939,-65.24720001,AR,SAVT,
TUC,Tucuman,VOR-DME,-26.8458004,-65.10829926,AR,SANT,
U,San Luis,NDB,-33.30500031,-66.36170197,AR,,
UIS,San Luis,VOR,-33.26940155,-66.3608017,AR,SAOU,
USU,Ushuaia,VOR,-54.83810043,-68.28420258,AR,SAWH,
V,Sauce Viejo,NDB,-31.7322998,-60.82109833,AR,,
V,Villa Reynolds,NDB,-33.72829819,-65.40329742,AR,,
V,Viedma,NDB,-40.86500168,-63.02500153,AR,,
VIE,Viedma,VOR,-40.86719894,-63.00080109,AR,SAVV,
W,Villa Reynolds,NDB,-33.73669815,-65.40000153,AR,,
Y,Goya,NDB,-29.0883007,-59.20000076,AR,,
Z,Mariano Moreno,NDB,-34.53829956,-58.79999924,AR,,
Z,Cataratas Del Igauzu,NDB,-25.74810028,-54.4477005,AR,,
Z,Santa Cruz,NDB,-50.01169968,-68.54329681,AR,,
LOG,Logotala Hill,NDB,-14.35379982,-170.7489929,AS,NSTU,
TUT,Pago Pago,VORTAC,-14.33259964,-170.7079926,AS,NSTU,
BRK,Bruck,NDB,48.06290054,16.7166996,AT,LOWW,
FMD,Fischamend,VOR-DME,48.10509872,16.62929916,AT,LOWW,
FRE,Freistadt,VOR-DME,48.43180084,14.12979984,AT,,
GBG,Gleichenberg,NDB,46.88700104,15.80029964,AT,,
GRZ,Graz,VOR-DME,46.95539856,15.44939995,AT,,
INN,Innsbruck,NDB,47.22999954,11.40190029,AT,LOWI,
KFT,Klagenfurt,VOR-DME,46.59759903,14.56229973,AT,LOWK,
KTI,Kuhtai,NDB,47.21549988,11.02779961,AT,LOWI,
KW,Klagenfurt,NDB,46.66749954,14.21829987,AT,LOWK,
LNZ,Linz,VOR-DME,48.22969818,14.10319996,AT,,
LNZ,Linz,NDB,48.23709869,14.32180023,AT,,
RTT,Rattenberg,NDB,47.43090057,11.94009972,AT,,
SBG,Salzburg,VOR-DME,48.00260162,12.89280033,AT,LOWS,
SI,Salzburg,NDB,47.8185997,12.98770046,AT,LOWS,
SNU,Sollenau,VOR-DME,47.87490082,16.28840065,AT,LOWW,
STE,Steinhof,NDB,48.21060181,16.24710083,AT,LOWW,
STO,Stockerau,VOR-DME,48.417099,16.01860046,AT,LOAU,
SU,Salzburg,NDB,47.87929916,12.94989967,AT,LOWS,
TF,Wierner Neustadt East,NDB,47.8409996,16.28170013,AT,LOAN,
TUN,Tulln,VOR-DME,48.30970001,15.98079967,AT,LOXT,
VIW,Villach,VOR-DME,46.69639969,13.91460037,AT,LOWK,
WGM,Wagram,VOR-DME,48.32389832,16.49099922,AT,LOWW,
WO,Schwechat,NDB,48.1473999,16.45759964,AT,LOWW,
ZW,Zeltweg,NDB,47.19810104,14.75669956,AT,LOXZ,
ABA,Albany,NDB-DME,-34.95220184,117.810997,AU,YABA,
AD,Adelaide,VOR-DME,-34.94689941,138.5240021,AU,YPAD,SID:ADELAIDE 5;STAR:ADELAIDE 2E
AD,Adelaide (DECOMMISSIONED),NDB,-34.94639969,138.5460052,AU,YPAD,
AF,Archerfield,NDB,-27.57029915,153.0160065,AU,YBAF,SID:ARCHER 3
AMB,Amberley,TACAN,-27.64170074,152.7160034,AU,YAMB,SID:AMBERLEY 4
AMB,Amberley,NDB,-27.64889908,152.723999,AU,YAMB,
AMK,Andamooka,NDB,-30.45350075,137.1670074,AU,YAMK,
ARG,Argyle,VOR-DME,-16.63170052,128.4490051,AU,YARG,
ARM,Armidale,NDB-DME,-30.52779961,151.6150055,AU,YARM,
ARS,Ardrossan,VOR,-34.416528,137.893347,AU,,
ARS,Ardrossan (DECOMMISSIONED),NDB,-34.41410065,137.9230042,AU,,
AS,Alice Springs,VOR-DME,-23.79290009,133.878006,AU,YBAS,
AV,Avalon,VOR-DME,-38.0489006,144.4589996,AU,YMAV,SID:AVALON 5
AY,Albury,VOR-DME,-36.06809998,146.9660034,AU,YMAY,
AYE,Ayers Rock,NDB-DME,-25.17280006,130.9750061,AU,YAYE,
BAR,Barcaldine,NDB,-23.55830002,145.2980042,AU,YBAR,
BCK,Blackall,NDB,-24.42609978,145.4360046,AU,YBCK,
BDG,Bendigo,NDB,-36.74280167,144.326004,AU,YBDG,
BDV,Birdsville,NDB,-25.89640045,139.3529968,AU,YBDV,
BGO,Balgo Hill,NDB,-20.1359005,127.9889984,AU,YBGO,
BGT,Bagot,NDB,-12.40670013,130.8569946,AU,YPDN,
BHI,Broken Hill,VOR-DME,-32.00059891,141.4799957,AU,YBHI,
BIB,Biboohra,VOR,-16.91670036,145.4120026,AU,,
BIK,Bindook,VOR-DME,-34.17860031,150.1069946,AU,,
BIK,Bindook (Closed May 2016),NDB,-34.17860031,150.1109,AU,,
BIU,Ballidu,VOR,-30.59399986,116.7799988,AU,,
BK,Bankstown,NDB,-33.92829895,150.9889984,AU,YSBK,SID:BANKSTOWN 1
BKE,Bourke,NDB,-30.04330063,145.9490051,AU,YBKE,
BKT,Burketown,NDB,-17.75110054,139.5319977,AU,YBKT,
BLN,Busselton,NDB,-33.69250107,115.3949966,AU,YBLN,SID:BUSSELTON 1
BLT,Ballarat,NDB,-37.5135994,143.7910004,AU,YBLT,
BML,Bromelton,NDB,-27.96610069,152.901001,AU,,
BN,Brisbane,VOR-DME,-27.36580086,153.1390076,AU,YBBN,SID:BRISBANE 4
BNA,Ballina,NDB,-28.83440018,153.5619965,AU,YBNA,
BNS,Bairnsdale,NDB,-37.8810997,147.5690002,AU,YBNS,
BOL,Bolinda,NDB,-37.46220016,144.7980042,AU,YMML,
BOR,Bordertown,VOR,-36.39279938,140.7420044,AU,,
BOU,Boulia,NDB,-22.91469955,139.9069977,AU,YBOU,
BRL,Borroloola,NDB,-16.07719994,136.3049927,AU,YBRL,
BRM,Broome,NDB-DME,-17.94639969,122.2350006,AU,YBRM,
BRW,Brewarrina,NDB,-29.97470093,146.8119965,AU,YBRW,
BTH,Bathurst,NDB,-33.41419983,149.6569977,AU,YBTH,
BUD,Bundaberg,NDB,-24.89669991,152.3209991,AU,YBUD,
BWN,Bowen,NDB,-20.02109909,148.2149963,AU,,
BWX,Barrow Island,NDB,-20.85630035,115.4059982,AU,YBWX,
CAA,Calga (Closed May 2016),NDB,-33.4028015,151.210998,AU,,
CAG,Caiguna,VOR-DME,-32.26330185,125.4960022,AU,,
CAR,Carnarvon,VOR-DME,-24.88190079,113.6729965,AU,YCAR,
CB,Canberra,VOR-DME,-35.28139877,149.1959991,AU,YSCB,SID:CANBERRA 3
CBA,Cobar,NDB,-31.54000092,145.798996,AU,YCBA,
CBB,Coonabarabran,NDB,-31.32999992,149.2709961,AU,YCBB,
CBP,Coober Pedy,NDB,-29.03190041,134.723999,AU,YCBP,
CCK,Church Creek,NDB,-35.46419907,149.1950073,AU,YSCB,
CCY,Cloncurry,NDB,-20.66559982,140.5010071,AU,YCCY,
CDO,Condobolin,NDB,-33.07030106,147.2160034,AU,YCDO,
CDU,Ceduna,NDB,-32.12670135,133.727005,AU,YCDU,
CG,Coolangatta,VOR-DME,-28.16889954,153.5039978,AU,YBCG,SID:COOLANGATTA 7
CH,Coffs Harbour,VOR-DME,-30.31920052,153.1159973,AU,YCFS,
CIN,Curtin,VOR-DME,-17.58860016,123.8519974,AU,YCIN,
CKL,Clackline,NDB,-31.68420029,116.5619965,AU,,
CKN,Cooktown,NDB,-15.48169994,145.2480011,AU,YCKN,
CMT,Clermont,NDB,-22.7730999,147.625,AU,YCMT,
CMU,Cunnamulla,VOR,-28.03879929,145.6239929,AU,YCMU,
CMW,Camooweal,NDB,-19.91469955,138.1170044,AU,YCMW,
CN,Camden,NDB,-34.03860092,150.6920013,AU,YSCN,
CNM,Coonamble,NDB,-30.97439957,148.3800049,AU,YCNM,
CNY,Century Mine,NDB,-18.75390053,138.7030029,AU,YCNY,
COE,Coen,NDB,-13.76609993,143.1170044,AU,YCOE,
COM,Cooma,NDB-DME,-36.35380173,148.9579926,AU,YCOM,
COR,Corowa,NDB,-35.98749924,146.3569946,AU,YCOR,
CRG,Corryong,NDB,-36.14849854,147.8619995,AU,YCRG,
CS,Cairns,VOR-DME,-16.85000038,145.7440033,AU,YBCS,SID:CAIRNS 2
CSV,Collinsville,VOR,-20.59140015,147.7850037,AU,YCSV,
CTM,Cootamundra,NDB,-34.62739944,148.0310059,AU,YCTM,
CUA,Cudal,NDB,-33.27610016,148.7669983,AU,,
CUN,Cunderdin,NDB,-31.625,117.223999,AU,YCUN,
CV,Charleville,VOR,-26.42110062,146.2660065,AU,YBCV,
CVM,Caversham,NDB,-31.87829971,115.9810028,AU,YPPH,
CWR,Cowra,VOR,-33.84790039,148.6459961,AU,YCWR,
CWS,Cowes,VOR,-38.50780106,145.2140045,AU,,
DAR,Darwin,TACAN,-12.41359997,130.8829956,AU,YPDN,
DBY,Derby,NDB,-17.35689926,123.6669998,AU,YDBY,
DLQ,Deniliquin,NDB,-35.55199814,144.9519958,AU,YDLQ,
DN,Darwin,VOR-DME,-12.42310047,130.9060059,AU,YPDN,SID:DARWIN 8
DN,Darwin,NDB,-12.4314003,130.9609985,AU,YPDN,
DPO,Devonport,VOR-DME,-41.16999817,146.4340057,AU,YDPO,
DU,Dubbo,VOR-DME,-32.2195015,148.5780029,AU,YSDU,
DYS,Dysart,NDB,-22.59749985,148.3509979,AU,YDYS,
ECH,Echuca,NDB,-36.16540146,144.7649994,AU,YECH,
EDN,Edinburgh,TACAN,-34.70470047,138.6130066,AU,YPED,SID:EDINBURGH 5
EDN,Edinburgh,NDB,-34.70690155,138.6320038,AU,YPED,
ELW,Eildon Weir,VOR,-37.20629883,145.8350067,AU,,
EML,Emerald,NDB,-23.56749916,148.1710052,AU,YEML,
EN,Essendon,NDB,-37.72669983,144.9109955,AU,YMEN,
EPP,Epping,NDB,-37.67169952,145.026001,AU,YMML,
ESL,East Sale,TACAN,-38.10219955,147.154007,AU,YMES,
ESL,East Sale,NDB,-38.1114006,147.1589966,AU,YMES,
ESP,Esperance,VOR-DME,-33.68059921,121.8239975,AU,YESP,
FBS,Forbes,NDB,-33.36420059,147.9279938,AU,YFBS,
FLI,Flinders Island,NDB,-40.09560013,148.0149994,AU,YFLI,
FRT,Forrest,NDB,-30.85499954,128.098999,AU,YFRT,
FTZ,Fitzroy Crossing,NDB,-18.18470001,125.5569992,AU,YFTZ,
GAY,Gayndah,NDB,-25.59499931,151.6730042,AU,YGAY,
GBA,Gibraltar,NDB,-29.59670067,152.1779938,AU,,
GDH,Gunnedah,NDB,-30.95420074,150.2480011,AU,YGDH,
GDI,Goondiwindi,NDB,-28.52249908,150.326004,AU,YGDI,
GEL,Geraldton,VOR-DME,-28.79030037,114.7060013,AU,YGEL,
GFN,Grafton,NDB,-29.75970078,153.0269928,AU,YGFN,
GIB,Gibb River,NDB,-16.42939949,126.4309998,AU,,
GIG,Gingin,NDB,-31.45969963,115.8659973,AU,YGIG,
GLA,Gladstone,VOR,-23.86529922,151.2039948,AU,YGLA,
GLB,Goulburn,NDB,-34.80720139,149.7369995,AU,YGLB,
GLF,Glenfield,NDB,-33.98669815,150.9759979,AU,YSSY,
GLI,Glen Innes,NDB,-29.67219925,151.6950073,AU,YGLI,
GLS,Giles,NDB,-25.03860092,128.2960052,AU,,
GTE,Groote Eylandt,NDB-DME,-13.97500038,136.4559937,AU,YGTE,
GTH,Griffith,VOR-DME,-34.24940109,146.0650024,AU,YGTH,
GTN,Georgetown,NDB,-18.29439926,143.548996,AU,YGTN,
GV,Gove,VOR-DME,-12.26500034,136.8159943,AU,YPGV,
HAY,Hay,NDB,-34.54219818,144.8329926,AU,YHAY,
HB,Hobart,VOR-DME,-42.8470993,147.5269928,AU,YMHB,
HB,Hobart,NDB,-42.81230164,147.4790039,AU,YMHB,
HBA,Hervey Bay,NDB,-25.32419968,152.8829956,AU,YHBA,
HBK,Holbrook,NDB,-35.62509918,147.4669952,AU,YHBK,
HID,Horn Island,NDB,-10.59189987,142.2920074,AU,YHID,
HLC,Halls Creek,NDB,-18.22999954,127.6660004,AU,YHLC,
HM,Hamilton Island,VOR-DME,-20.35110092,148.9559937,AU,YBHM,
HML,Hamilton,NDB,-37.64920044,142.0579987,AU,YHML,
HOO,Hooker Creek,NDB,-18.3307991,130.6369934,AU,YHOO,
HSM,Horsham,NDB,-36.6719017,142.1679993,AU,YHSM,
HUG,Hughenden,VOR,-20.81419945,144.2230072,AU,YHUG,
